@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric

@data
253,'2025/10/01 22:29:03:122',3,50,0,109,66,0.933227,0.560459,0.791331
254,'2025/10/01 22:29:03:187',3,52,0,109,66,0.933227,0.560459,0.791331
255,'2025/10/01 22:29:03:234',3,52,0,109,66,0.933227,0.560459,0.791331
256,'2025/10/01 22:29:03:319',3,51,0,109,66,0.933227,0.560459,0.791331
257,'2025/10/01 22:29:03:386',3,50,0,108,66,0.933227,0.560459,0.791331
258,'2025/10/01 22:29:03:439',3,50,0,108,66,0.933227,0.560459,0.791331
259,'2025/10/01 22:29:03:505',3,48,0,108,66,0.933227,0.560459,0.791331
260,'2025/10/01 22:29:03:562',3,48,0,108,66,0.933227,0.560459,0.791331
261,'2025/10/01 22:29:03:619',3,48,0,108,66,0.933227,0.560459,0.791331
262,'2025/10/01 22:29:03:685',3,48,0,108,66,0.933227,0.560459,0.791331
263,'2025/10/01 22:29:03:741',3,48,0,108,66,0.933227,0.560459,0.791331
264,'2025/10/01 22:29:03:801',3,48,0,108,66,0.933227,0.560459,0.791331
265,'2025/10/01 22:29:03:864',3,48,0,108,66,0.933227,0.560459,0.791331
266,'2025/10/01 22:29:03:929',3,49,0,109,65,0.933227,0.560459,0.791331
267,'2025/10/01 22:29:03:984',3,48,0,109,65,0.933227,0.560459,0.791331
268,'2025/10/01 22:29:04:042',3,49,0,109,65,0.933227,0.560459,0.791331
269,'2025/10/01 22:29:04:102',3,49,0,108,65,0.933227,0.560459,0.791331
270,'2025/10/01 22:29:04:163',3,50,0,108,56,0.933227,0.560459,0.791331
271,'2025/10/01 22:29:04:222',3,49,0,107,56,0.933227,0.560459,0.791331
272,'2025/10/01 22:29:04:281',3,50,0,107,56,0.933227,0.560459,0.791331
273,'2025/10/01 22:29:04:353',3,50,0,122,54,0.933227,0.560459,0.791331
274,'2025/10/01 22:29:04:415',3,52,0,107,54,0.933227,0.560459,0.791331
275,'2025/10/01 22:29:04:471',3,52,0,108,50,0.933227,0.560459,0.791331
276,'2025/10/01 22:29:04:520',3,53,0,109,50,0.933227,0.560459,0.791331
277,'2025/10/01 22:29:04:588',3,55,0,113,50,0.933227,0.560459,0.791331
278,'2025/10/01 22:29:04:651',3,56,0,114,49,0.933227,0.560459,0.791331
279,'2025/10/01 22:29:04:719',3,58,0,116,48,0.933227,0.560459,0.791331
280,'2025/10/01 22:29:04:773',3,59,0,119,47,0.933227,0.560459,0.791331
281,'2025/10/01 22:29:04:835',3,59,0,120,48,0.933227,0.560459,0.791331
282,'2025/10/01 22:29:04:880',3,60,0,120,48,0.933227,0.560459,0.791331
283,'2025/10/01 22:29:04:954',3,60,0,121,49,0.933227,0.560459,0.791331
284,'2025/10/01 22:29:05:002',3,61,0,121,53,0.933227,0.560459,0.791331
285,'2025/10/01 22:29:05:064',3,61,0,121,53,0.933227,0.560459,0.791331
286,'2025/10/01 22:29:05:130',3,61,0,118,50,0.933227,0.560459,0.791331
